Rk,Player,Season,Age,Tm,Lg,PER,G,GS,MP,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Kevin Durant,2014,25,OKC,NBA,29.8,81,81,3122,0.291,0.477,2.2,18.6,10.8,26.7,1.7,1.5,12.2,33,123,104,14.8,4.4,19.2,0.295,8.4,0.4,8.8,8.5
2,LeBron James,2014,29,MIA,NBA,29.3,77,77,2902,0.226,0.432,3.6,18.9,11.5,32,2.2,0.8,14.4,31,121,105,12.3,3.7,15.9,0.264,8,0.9,8.9,8
3,Kevin Love,2014,25,MIN,NBA,26.9,77,77,2797,0.355,0.445,8.5,29.5,18.7,21.4,1,1,10.3,28.8,120,104,10.6,3.7,14.3,0.245,7.2,1.2,8.4,7.3
4,Anthony Davis,2014,20,NOP,NBA,26.5,67,66,2358,0.009,0.438,10,23.3,16.6,8,2,6.7,8.3,25.2,119,104,7.2,3.2,10.4,0.212,2.3,2.2,4.5,3.9
5,DeMarcus Cousins,2014,23,SAC,NBA,26.1,71,71,2298,0.006,0.5,10.6,30.5,20.4,17.8,2.4,3.2,14.7,32.7,107,101,4.1,3.8,7.9,0.166,1.9,2.9,4.7,3.9
6,Chris Paul,2014,28,LAC,NBA,25.9,62,62,2171,0.244,0.397,2,11.4,6.9,48.9,3.5,0.1,12.4,23.7,125,103,9,3.2,12.2,0.27,6.8,0.6,7.4,5.2
7,Carmelo Anthony,2014,29,NYK,NBA,24.4,77,77,2982,0.253,0.329,5.6,19.4,12.3,15.8,1.7,1.5,9.5,32.4,113,108,8.1,2.5,10.7,0.172,4.6,-1,3.6,4.2
8,Stephen Curry,2014,25,GSW,NBA,24.1,78,78,2846,0.445,0.252,1.8,10.9,6.4,39.9,2.2,0.4,16.1,28.3,117,104,9.3,4,13.4,0.225,7.4,0,7.4,6.7
9,Blake Griffin,2014,24,LAC,NBA,23.9,80,80,2863,0.032,0.496,7.7,21.2,14.7,19.2,1.6,1.4,11.9,29,114,103,8.1,4.1,12.2,0.205,3,1.6,4.6,4.8
10,Dirk Nowitzki,2014,35,DAL,NBA,23.6,80,80,2628,0.258,0.295,1.8,20,10.9,14.2,1.4,1.4,7.5,26.9,120,108,8.6,2.3,10.9,0.199,4.1,-0.8,3.3,3.5
11,James Harden,2014,24,HOU,NBA,23.5,73,73,2777,0.401,0.552,2.6,10.7,6.9,27.3,2.1,0.8,15,27.8,120,107,10.1,2.7,12.8,0.221,6.2,-0.5,5.7,5.4
12,Brandan Wright,2014,26,DAL,NBA,23.5,58,0,1077,0,0.32,11,15.1,13.1,4.7,1.5,4.2,8.5,17.4,135,107,4.1,1,5.1,0.227,3.1,0.6,3.6,1.5
13,Al Jefferson,2014,29,CHA,NBA,22.7,73,73,2553,0.011,0.201,6.9,28.3,17.5,12.8,1.4,2.4,7.6,29.3,105,100,3.1,4.7,7.8,0.146,0.3,1.5,1.8,2.5
14,Andre Drummond,2014,20,DET,NBA,22.6,81,81,2619,0.003,0.427,17.5,27.7,22.3,2.2,2,4,10.7,16.7,121,104,6.4,3.5,9.9,0.182,1.1,0.5,1.6,2.4
15,LaMarcus Aldridge,2014,28,POR,NBA,21.8,69,69,2498,0.011,0.253,7.2,25.5,16.5,13,1.3,1.9,7.2,29.8,108,104,4,3.5,7.5,0.144,-0.4,0.7,0.3,1.5
16,Goran Dragic,2014,27,PHO,NBA,21.4,76,75,2668,0.274,0.381,2.9,7.4,5.2,28.1,2,0.6,14.3,24.5,119,109,8.4,2,10.3,0.186,4.9,-1.1,3.9,4
17,Tim Duncan,2014,37,SAS,NBA,21.3,74,74,2158,0.006,0.349,8.6,28.3,18.8,16,1,4.6,13.2,25.2,106,98,2.8,4.6,7.4,0.164,-0.9,4,3.2,2.8
18,Dwight Howard,2014,28,HOU,NBA,21.3,71,71,2396,0.009,0.798,11.4,27.9,20.1,9.3,1.2,4,17.5,24,109,101,4,4.1,8,0.161,-0.3,2.2,1.9,2.4
19,Isaiah Thomas,2014,24,SAC,NBA,20.5,72,54,2497,0.332,0.371,2.1,7.5,4.7,32.2,1.9,0.3,14.3,26.3,114,111,6.4,1.3,7.7,0.149,5,-2.1,2.9,3.1
20,Paul George,2014,23,IND,NBA,20.1,80,80,2898,0.367,0.341,2.6,17.7,10.5,17.9,2.7,0.6,12.5,28.3,107,97,4.4,6.4,10.8,0.178,2.9,1.8,4.7,4.9
