Rk,Player,Season,Age,Tm,Lg,PER,G,GS,MP,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,WinsAdded
1,Stephen Curry,2016,27,GSW,NBA,31.5,79,79,2700,0.554,0.25,2.9,13.6,8.6,33.7,3,0.4,12.9,32.6,125,103,13.8,4.1,17.9,0.318,12.4,0.1,12.5,9.8,6
2,Kevin Durant,2016,27,OKC,NBA,28.2,72,72,2578,0.348,0.361,2,21.8,12.4,24.2,1.3,2.5,13.5,30.6,122,104,11,3.5,14.5,0.27,7,0.9,7.9,6.4,10
3,Russell Westbrook,2016,27,OKC,NBA,27.6,80,80,2750,0.236,0.397,6.1,18.1,12.4,49.6,2.9,0.6,16.8,31.6,115,103,10,4,14,0.245,7.6,2.4,10,8.3,10
4,LeBron James,2016,31,CLE,NBA,27.5,76,76,2709,0.199,0.347,4.7,18.8,11.8,36,2,1.5,13.2,31.4,116,103,9.6,4,13.6,0.242,6.9,2.3,9.1,7.6,4
5,Chris Paul,2016,30,LAC,NBA,26.2,74,74,2420,0.295,0.294,1.8,12,7,52.7,3.1,0.4,13.4,27.1,119,103,9.2,3.5,12.7,0.253,7.3,0.5,7.8,6,-3
6,Kawhi Leonard,2016,24,SAS,NBA,26,72,72,2380,0.267,0.306,4.7,18.4,11.8,13,2.8,2.3,7.8,25.8,121,96,8.3,5.5,13.7,0.277,5.5,2.8,8.3,6.2,12
7,Hassan Whiteside,2016,26,MIA,NBA,25.7,73,43,2125,0,0.482,13.1,32.4,23.1,2.4,1.1,9.7,14.2,20.7,117,95,5,5.3,10.3,0.233,-0.9,3.4,2.5,2.4,11
8,James Harden,2016,26,HOU,NBA,25.3,82,82,3125,0.406,0.518,2.2,15.6,8.8,35.4,2.2,1.4,15.9,32.5,115,108,10.7,2.6,13.3,0.204,7.1,-0.4,6.7,6.9,-15
9,Anthony Davis,2016,22,NOP,NBA,25,61,61,2164,0.095,0.379,6.4,26.4,16.1,10,1.8,4.7,8.4,29.6,110,104,4.4,2.8,7.2,0.16,1,1.2,2.2,2.3,-15
10,Enes Kanter,2016,23,OKC,NBA,24,82,1,1721,0.029,0.349,16.7,24.9,21,3.1,0.7,1.5,12.2,23.4,123,105,6,2.1,8.1,0.226,1.3,-3.1,-1.7,0.1,10
11,DeMarcus Cousins,2016,25,SAC,NBA,23.6,65,65,2246,0.158,0.498,7.7,28.2,18,17,2.2,3.3,13.3,35.4,103,103,2.4,3.3,5.7,0.122,1,1.6,2.6,2.6,4
12,Jonas Valanciunas,2016,23,TOR,NBA,22.6,60,59,1557,0,0.397,13.8,26.3,20.1,4.8,0.8,4.2,11.9,20.9,120,102,4.5,2.4,6.9,0.211,0.7,0.4,1.1,1.2,7
13,Karl-Anthony Towns,2016,20,MIN,NBA,22.5,82,82,2627,0.076,0.239,10.3,27.5,19,11.3,1.1,4.3,12.6,24.9,112,106,5.5,2.8,8.3,0.151,1.6,1.2,2.8,3.1,13
14,LaMarcus Aldridge,2016,30,SAS,NBA,22.4,74,74,2261,0.015,0.289,9.2,22.2,15.9,8.1,0.9,2.8,7.8,25.9,114,99,5.6,4.5,10.1,0.215,0.7,1.1,1.8,2.2,12
15,Damian Lillard,2016,25,POR,NBA,22.2,75,75,2676,0.414,0.315,1.8,10.4,6.1,33.6,1.2,0.8,12.6,31.3,113,110,7.7,1.4,9.2,0.165,5.9,-2.2,3.7,3.8,-7
16,Kyle Lowry,2016,29,TOR,NBA,22.2,77,77,2851,0.457,0.41,2.2,12.3,7.3,29.9,2.9,1,13.7,26.1,115,104,8,3.7,11.6,0.196,6.2,0.6,6.8,6.3,7
17,Greg Monroe,2016,25,MIL,NBA,21.8,79,67,2314,0.001,0.327,10.9,23.4,17.2,13.2,1.6,2.5,10.7,23.5,113,106,5,2.4,7.5,0.155,1.3,0.2,1.5,2.1,-8
18,Pau Gasol,2016,35,CHI,NBA,21.7,72,72,2291,0.069,0.29,7.3,28.7,18.2,21.7,0.9,4.7,12.8,24.6,107,101,3.2,3.9,7.1,0.149,0.5,3.5,4,3.5,-8
19,Brook Lopez,2016,27,BRK,NBA,21.7,73,73,2457,0.012,0.348,9.2,17.2,13.1,10.8,1.2,4.1,11.6,27.3,109,109,4.5,1.7,6.2,0.121,1.1,0.2,1.3,2.1,-17
20,Derrick Favors,2016,24,UTA,NBA,21.6,62,59,1983,0.005,0.313,10,19.6,14.8,8.9,2,3.9,10.1,23.9,111,101,3.8,3.4,7.1,0.173,0.4,2.3,2.7,2.3,2
