Player,Season,Age,Tm,Lg,PER,G,GS,MP,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
James Harden,2018,28,HOU,NBA,29.8,72,72,2551,0.498,0.502,1.8,15.2,8.6,45.1,2.4,1.7,15.1,36.1,120,105,11.6,3.8,15.4,0.289,9.6,1.3,10.9,8.3
Anthony Davis,2018,24,NOP,NBA,28.9,75,75,2727,0.111,0.409,7.7,24.8,16.5,10.8,2,5.6,8.6,30,119,102,8.8,4.9,13.7,0.241,2.8,2.3,5.2,4.9
LeBron James,2018,33,CLE,NBA,28.6,82,82,3026,0.257,0.336,3.7,22.3,13.1,44.4,1.9,2,16.1,31.6,118,109,11,3,14,0.221,7.6,2,9.6,8.9
Giannis Antetokounmpo,2018,23,MIL,NBA,27.3,75,75,2756,0.1,0.457,6.7,25.3,16,23.7,2,3.3,11.7,31.2,116,106,8.3,3.6,11.9,0.207,3.9,1.9,5.8,5.4
Kevin Durant,2018,29,GSW,NBA,26,68,68,2325,0.338,0.331,1.6,19.5,11.2,25.5,1,4,12.9,30.4,119,107,7.5,2.9,10.4,0.215,5,0.7,5.6,4.5
Damian Lillard,2018,27,POR,NBA,25.2,73,73,2670,0.445,0.38,2.6,10.6,6.6,30.9,1.4,0.8,11.1,30.6,120,109,9.9,2.7,12.6,0.227,7.7,-1,6.7,5.9
LaMarcus Aldridge,2018,32,SAS,NBA,25,75,75,2509,0.068,0.296,10.8,17.3,14,11.3,0.9,3,6.8,29.1,118,105,7.4,3.5,10.9,0.209,3,0.3,3.3,3.3
Kyrie Irving,2018,25,BOS,NBA,25,60,60,1931,0.374,0.24,1.9,10.8,6.4,30.7,1.7,0.7,10.4,31,118,106,6.3,2.7,8.9,0.222,6.9,-0.7,6.2,4
Karl-Anthony Towns,2018,22,MIN,NBA,24.9,82,82,2918,0.243,0.343,9.3,30.9,20,10.8,1.1,3.5,10.5,22.9,127,107,10.6,3.4,14,0.23,4.4,1.1,5.5,5.5
Montrezl Harrell,2018,24,LAC,NBA,24.7,76,3,1293,0.013,0.405,8.9,17,13,10.1,1.4,3.4,9.5,23.8,124,109,4.3,1.3,5.5,0.205,2.4,0,2.4,1.5
Russell Westbrook,2018,29,OKC,NBA,24.7,80,80,2914,0.193,0.336,5.6,25.7,15.3,49.8,2.5,0.6,16.4,34.1,109,104,5.5,4.5,10.1,0.166,5.1,3.1,8.2,7.5
Clint Capela,2018,23,HOU,NBA,24.5,74,74,2034,0.001,0.38,13.5,30.8,22.2,5.7,1.4,5.7,11.5,19.4,126,101,6.2,4.1,10.2,0.242,0.1,2.9,3,2.6
Nikola Jokic,2018,22,DEN,NBA,24.4,75,73,2443,0.277,0.31,9,27.9,18.5,29.6,1.8,2.1,15.5,24.2,121,107,7.8,2.9,10.7,0.211,4.8,2.3,7.1,5.6
Chris Paul,2018,32,HOU,NBA,24.4,58,58,1847,0.475,0.277,2.3,16.7,9.5,40.9,2.6,0.6,12.5,24.5,126,105,7.5,2.7,10.2,0.265,6.2,0.9,7.1,4.3
Enes Kanter,2018,25,NYK,NBA,24,71,71,1830,0.003,0.258,16.6,30.6,23.6,9.4,1,1.7,13.3,21.8,122,108,5.5,2.1,7.6,0.198,2.4,0.1,2.5,2.1
Jimmy Butler,2018,28,MIN,NBA,23.7,59,59,2164,0.217,0.461,4.2,12.7,8.4,20.6,2.7,1,8.9,24.9,122,110,7.1,1.8,8.9,0.198,4.9,0.1,5,3.8
Victor Oladipo,2018,25,IND,NBA,23.1,75,75,2552,0.323,0.274,2.1,15.1,8.6,21.2,3.5,2,12.7,30.1,110,104,4.3,4,8.3,0.155,3.6,1.3,4.9,4.5
Andre Drummond,2018,24,DET,NBA,22.9,78,78,2625,0.012,0.448,16.4,36.4,26.2,14.3,2.2,4.3,15.9,21.2,113,99,4.6,5.7,10.3,0.189,0.2,5.3,5.5,5
Joel Embiid,2018,23,PHI,NBA,22.9,63,63,1912,0.203,0.442,8.4,29.7,19.4,18,1,4.8,15.6,33.4,106,100,2.3,3.8,6.2,0.155,0.1,2.5,2.6,2.2
Jonas Valanciunas,2018,25,TOR,NBA,22.5,77,77,1727,0.108,0.307,12.1,30.3,21.4,7.5,0.8,3.2,12.9,22.7,120,103,4.6,3,7.6,0.21,0.7,0.8,1.5,1.5
