Player,Season,Age,Tm,Lg,PER,G,GS,MP,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,WinsAdded
Giannis Antetokounmpo,2019,24,MIL,NBA,30.9,72,72,2358,0.163,0.55,7.3,30,19.3,30.3,1.8,3.9,14.8,32.3,121,99,8.9,5.5,14.4,0.292,5.7,5,10.8,7.6,16
James Harden,2019,29,HOU,NBA,30.6,78,78,2867,0.539,0.449,2.5,17.8,10,39.5,2.7,1.7,14.5,40.5,118,108,11.4,3.8,15.2,0.254,10.5,1.1,11.7,9.9,-12
Nikola Jokic,2019,23,DEN,NBA,26.3,80,80,2504,0.224,0.292,9.8,27.6,18.7,37,2.1,1.9,15.4,27.4,119,105,7.5,4.3,11.8,0.226,5.7,3.8,9.5,7.3,8
Karl-Anthony Towns,2019,23,MIN,NBA,26.3,77,77,2545,0.27,0.342,10.9,29.3,20,17.2,1.3,4.2,13.7,28.9,118,108,7.2,3.2,10.4,0.197,4.8,2,6.8,5.7,-11
Joel Embiid,2019,24,PHI,NBA,26.1,64,64,2154,0.219,0.541,8.1,34,21.4,18.4,1,4.4,13.2,33.3,114,104,4.9,3.8,8.7,0.194,2,2.1,4.1,3.3,-1
Kawhi Leonard,2019,27,TOR,NBA,25.8,60,60,2040,0.267,0.377,4.2,18.6,11.6,16.4,2.5,1,8.4,30.3,119,105,6.1,3.4,9.5,0.224,4.3,0.7,5,3.6,-1
Nikola Vucevic,2019,28,ORL,NBA,25.5,80,80,2510,0.171,0.168,9.4,31.9,20.5,21.9,1.6,3,9.9,28,115,103,5.4,4.7,10.1,0.193,3,3.4,6.4,5.3,17
Rudy Gobert,2019,26,UTA,NBA,24.6,81,80,2577,0,0.733,13.2,30.2,21.9,9.6,1.2,5.8,12.1,17.8,133,100,8.7,5.7,14.4,0.268,2,5.1,7,5.9,2
Stephen Curry,2019,30,GSW,NBA,24.4,69,69,2331,0.604,0.214,2.2,14.2,8.4,24.2,1.9,0.9,11.6,30.4,120,110,7.2,2.5,9.7,0.199,7.7,-1.4,6.3,4.9,-1
Kyrie Irving,2019,26,BOS,NBA,24.3,67,67,2214,0.35,0.197,3.4,12.7,8.1,35,2.2,1.4,11.3,29.6,118,108,6.2,2.9,9.1,0.197,6,0.4,6.4,4.7,-6
Kevin Durant,2019,30,GSW,NBA,24.2,78,78,2702,0.281,0.366,1.4,17.5,9.8,26.2,1,2.6,12.3,29,121,110,8.6,2.9,11.5,0.204,4.2,0.1,4.3,4.3,-1
Boban Marjanovic,2019,30,TOT,NBA,24.2,58,12,681,0.038,0.504,14,26.9,20.6,12.8,1.1,3.1,15.7,23.3,123,107,2.1,0.9,3,0.212,1.4,0.5,1.9,0.7,-1
Clint Capela,2019,24,HOU,NBA,23.8,67,67,2249,0,0.357,14.4,27.6,20.8,7.1,1,3.9,10,18.2,133,108,7.8,3,10.8,0.23,1.3,1.6,2.9,2.8,-12
Damian Lillard,2019,28,POR,NBA,23.7,80,80,2838,0.419,0.335,2.6,11.1,7,30.6,1.5,1,10.8,29.3,121,112,9.7,2.4,12.1,0.205,6.6,-1.1,5.5,5.4,4
Hassan Whiteside,2019,29,MIA,NBA,23.5,72,53,1674,0.024,0.357,16.3,35.6,25.9,5.6,1.3,7.3,11,22.6,112,99,2.3,4,6.3,0.18,-2.2,3,0.8,1.2,-5
Andre Drummond,2019,25,DET,NBA,23.4,79,79,2647,0.036,0.392,16.8,34.7,25.4,7.2,2.5,4.4,12.4,22.9,113,100,4.1,5.9,10,0.181,-0.7,3.6,2.9,3.3,2
Montrezl Harrell,2019,25,LAC,NBA,23.4,82,5,2158,0.019,0.466,9.3,16.7,13.1,12.5,1.6,4,11,23.5,122,109,6.1,2.6,8.7,0.193,2.6,1.6,4.2,3.4,6
Jusuf Nurkic,2019,24,POR,NBA,23.4,72,72,1974,0.035,0.442,13.4,26.7,20.2,17.9,1.7,4.2,14.6,24.7,116,105,4.4,3.3,7.8,0.189,1.6,3.6,5.1,3.5,4
Paul George,2019,28,OKC,NBA,23.3,77,77,2841,0.469,0.335,3.7,19.6,11.4,17.7,2.8,1,10,29.5,116,105,7,4.9,11.9,0.201,4.7,0.7,5.5,5.3,1
LaMarcus Aldridge,2019,33,SAS,NBA,22.9,81,81,2687,0.032,0.312,10.3,19.8,15.1,11.6,0.8,3.4,8.8,26.9,117,110,6.4,2.9,9.3,0.167,1.2,0.5,1.6,2.5,1
