Player,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,WinsAdded
LeBron James,2017-18,33,CLE,NBA,PF,82,3026,26.884,0.58373,0.24158,0.31584,3.47799,20.962,12.3139,41.736,1.78599,1.88,15.134,29.704,10.34,2.82,13.16,0.20773,7.14399,1.88,9.024,8.366,11
Stephen Curry,2017-18,29,GSW,NBA,PG,51,1631,27.636,0.6615,0.56839,0.34299,2.646,14.112,8.82,29.694,2.352,0.392,13.034,30.38,7.056,1.764,8.918,0.26166,9.702,-1.274,8.42799,4.312,3
James Harden,2017-18,28,HOU,NBA,SG,72,2551,29.502,0.61281,0.49302,0.49698,1.782,15.048,8.514,44.649,2.376,1.683,14.949,35.739,11.484,3.762,15.246,0.28611,9.504,1.287,10.791,8.217,-8
Giannis Antetokounmpo,2017-18,23,MIL,NBA,PF,75,2756,30.03,0.6578,0.11,0.5027,7.37,27.83,17.6,26.07,2.2,3.63,12.87,34.32,9.13,3.96,13.09,0.2277,4.29,2.09,6.38,5.94,3
Kevin Durant,2017-18,29,GSW,NBA,PF,68,2325,25.48,0.6272,0.33124,0.32438,1.568,19.11,10.976,24.99,0.98,3.92,12.642,29.792,7.35,2.842,10.192,0.2107,4.9,0.686,5.488,4.41,3
Anthony Davis,2017-18,24,NOP,NBA,PF,75,2727,31.0675,0.6579,0.119325,0.439675,8.2775,26.66,17.7375,11.61,2.15,6.02,9.245,32.25,9.46,5.2675,14.7275,0.259075,3.01,2.4725,5.59,5.2675,-3
Russell Westbrook,2017-18,29,OKC,NBA,PG,80,2914,24.206,0.51352,0.18914,0.32928,5.48799,25.186,14.994,48.8039,2.45,0.588,16.072,33.418,5.39,4.41,9.898,0.16268,4.99799,3.038,8.036,7.35,1
Kawhi Leonard,2016-17,25,TOR,NBA,SF,74,2474,27.6,0.61,0.295,0.406,3.7,15.7,9.8,18.9,2.7,1.8,9.1,31.1,8.9,4.7,13.6,0.264,6.4,1.5,7.9,6.2,-3
Joel Embiid,2017-18,23,PHI,NBA,C,63,1912,25.19,0.6303,0.2233,0.4862,9.24,32.67,21.34,19.8,1.1,5.28,17.16,36.74,2.53,4.18,6.82,0.1705,0.11,2.75,2.86,2.42,1
Damian Lillard,2017-18,27,POR,NBA,PG,73,2670,25.2,0.594,0.445,0.38,2.6,10.6,6.6,30.9,1.4,0.8,11.1,30.6,9.9,2.7,12.6,0.227,7.7,-1,6.7,5.9,-6
Chris Paul,2017-18,32,HOU,NBA,PG,58,1847,23.18,0.5738,0.45125,0.26315,2.185,15.865,9.025,38.855,2.47,0.57,11.875,23.275,7.125,2.565,9.69,0.25175,5.89,0.855,6.745,4.085,-8
Nikola Jokic,2017-18,22,DEN,NBA,C,75,2443,27.45,0.678375,0.311625,0.34875,10.125,31.3875,20.8125,33.3,2.025,2.3625,17.4375,27.225,8.775,3.2625,12.0375,0.237375,5.4,2.5875,7.9875,6.3,1
Paul George,2017-18,27,OKC,NBA,SF,79,2891,18.7,0.57,0.454,0.307,2.7,14.9,8.6,14.5,2.8,1.2,12.2,25.7,5,3.9,8.9,0.148,2.5,0,2.6,3.3,1
Jimmy Butler,2017-18,28,MIN,NBA,SG,59,2164,23.4629,0.5841,0.21483,0.45639,4.158,12.5729,8.316,20.394,2.673,0.99,8.811,24.651,7.029,1.782,8.811,0.19602,4.851,0.099,4.95,3.762,-2
Victor Oladipo,2017-18,25,IND,NBA,SG,75,2552,24.255,0.60585,0.33915,0.2877,2.205,15.855,9.03,22.26,3.675,2.1,13.335,31.605,4.515,4.2,8.715,0.16275,3.78,1.365,5.145,4.725,0
Draymond Green,2017-18,27,GSW,NBA,PF,70,2287,16.1,0.556,0.414,0.279,3.9,21.1,13.1,29,2,3.1,22.5,17.2,2.6,3.4,6.1,0.127,0.4,2.7,3.2,3,3
Karl-Anthony Towns,2017-18,22,MIN,NBA,C,82,2918,28.0125,0.72675,0.273375,0.385875,10.4625,34.7625,22.5,12.15,1.2375,3.9375,11.8125,25.7625,11.925,3.825,15.75,0.25875,4.95,1.2375,6.1875,6.1875,-2
Ben Simmons,2017-18,21,PHI,NBA,PG,81,2732,23,0.64055,0.01265,0.3933,6.785,22.425,14.95,43.01,2.875,2.415,22.425,25.645,4.83,5.75,10.58,0.1863,1.15,4.14,5.29,5.29,1
Klay Thompson,2017-18,27,GSW,NBA,SG,73,2506,16.1,0.598,0.442,0.083,1.5,10.3,6.2,11.2,1.1,1.1,9.5,23.7,3.2,1.8,4.9,0.094,1.8,-2.4,-0.6,0.9,3
Kyrie Irving,2017-18,25,BOS,NBA,PG,60,1931,26.25,0.6405,0.3927,0.252,1.99499,11.34,6.72,32.235,1.785,0.735,10.92,32.55,6.615,2.835,9.345,0.2331,7.245,-0.735,6.51,4.2,3
