Team,Player,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
Los Angeles Lakers,LeBron James,34,LAL,NBA,SF,55,1937,25.6,0.588,0.299,0.382,3.1,21.3,12.4,39.4,1.7,1.4,13.3,31.6,,4.7,2.6,7.2,0.179,,6.2,1.9,8.1,4.9
Los Angeles Lakers,Anthony Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Lakers,Kyle Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Lakers,Rajon Rondo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Lakers,Demarcus Cousins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Clippers,Kawhi Leonard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Clippers,Paul George,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Clippers,Patrick Beverley ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Clippers,Montrezl Harrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Clippers,Lou Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milwaukee Bucks,Giannis Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milwaukee Bucks,Khris Middleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milwaukee Bucks,Eric Bledsoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milwaukee Bucks,George Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milwaukee Bucks,Brook Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden State Warriors,Stephen Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden State Warriors,Klay Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden State Warriors,DAngelo Russell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden State Warriors,Draymond Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden State Warriors,Kevon Looney,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston Rockets,James Harden,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston Rockets,Chris Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston Rockets,Eric Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston Rockets,Clint Capela,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston Rockets,PJ Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma City Thunder,Russell Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma City Thunder,Steven Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma City Thunder,Dennis Schröder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma City Thunder,Jerami Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma City Thunder,Danilo Gallinari,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia 76ers,Joel Embiid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia 76ers,Ben Simmons,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia 76ers,Tobias Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia 76ers,Al Horford,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia 76ers,Josh Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Jazz,Rudy Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Jazz,Donovan Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Jazz,Ricky Rubio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Jazz,Joe Ingles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Jazz,Jae Crowder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland Trailblazers,Damian Lillard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland Trailblazers,CJ McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland Trailblazers,Jusuf Nurkić,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland Trailblazers,Zach Collins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland Trailblazers,Rodney Hood,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Nuggets,Nikola Jokic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Nuggets,Jamal Murray,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Nuggets,Gary Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Nuggets,Paul Millsap,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Nuggets,Will Barton,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami Heat,Jimmy Butler,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami Heat,Goran Dragić,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami Heat,Justise Winslow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami Heat,Dion Waiters,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami Heat,Bam Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn Nets,Kyrie Irving,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn Nets,Spencer Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn Nets,Jarrett Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn Nets,Caris LeVert,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn Nets,DeMarre Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,Karl-Anthony Towns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,Andrew Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,Robert Covington,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,Jeff Teague,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,Dario Saric,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix Suns,Devin Booker,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix Suns,T.J. Warren,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix Suns,Kelly Oubre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix Suns,Deandre Ayton,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix Suns,Josh Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,Kemba Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,Jayson Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,Gordon Hayward,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,Jaylen Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,Marcus Smart,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington Wizards,Bradley Beal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington Wizards,John Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington Wizards,Otto Porter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington Wizards,Jeff Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington Wizards,Tomas Satoransky,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,DeMar DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,LaMarcus Aldridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,Rudy Gay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,Marcus Morris,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,Derrick White,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orlando Magic,Nikola Vuvevic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orlando Magic,Aaron Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orlando Magic,Evan Fournier,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orlando Magic,Terrence Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orlando Magic,Jonathan Isaac,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,Blake Griffin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,Andre Drummond,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,Reggie Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,Langston Galloway,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,Luke Kennard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
